####br; 20-07-08 06:28:25; 3;-2
####br; 20-07-08 06:28:30; 3;-2
####br; 20-07-08 06:28:35; 2;-4
####br; 20-07-08 06:28:40; 3;-2
####br; 20-07-08 06:28:45; 3;-2
####br; 20-07-08 06:28:50; 4;-5
####br; 20-07-08 06:28:55; 3;-3
####br; 20-07-08 06:29:00; 3;-3
####br; 20-07-08 06:29:05; 3;-3
####br; 20-07-08 06:29:10; 3;-3
####br; 20-07-08 06:29:15; 2;-1
####br; 20-07-08 06:29:20; 2;-1
####br; 20-07-08 06:29:25; 3;-2
####br; 20-07-08 06:29:30; 3;-2
####br; 20-07-08 06:29:35; 3;-2
####br; 20-07-08 06:29:40; 2;-4
####br; 20-07-08 06:29:45; 2;-4
####br; 20-07-08 06:29:50; 1;-1
####br; 20-07-08 06:29:55; 2;0
####br; 20-07-08 06:30:00; 2;0
####br; 20-07-08 06:30:05; 2;0
####br; 20-07-08 06:30:10; 3;-2
####br; 20-07-08 06:30:15; 3;-2
####br; 20-07-08 06:30:20; 3;-2
####br; 20-07-08 06:30:25; 2;-1
####br; 20-07-08 06:30:30; 2;-1
####br; 20-07-08 06:30:35; 3;0
####br; 20-07-08 06:30:40; 3;0
####br; 20-07-08 06:30:45; 3;0
####br; 20-07-08 06:30:50; 3;0
####br; 20-07-08 06:30:55; 3;0
####br; 20-07-08 06:31:00; 3;0
####br; 20-07-08 06:31:05; 4;-1
####br; 20-07-08 06:31:10; 3;1
####br; 20-07-08 06:31:15; 3;1
####br; 20-07-08 06:31:20; 3;1
####br; 20-07-08 06:31:25; 3;1
####br; 20-07-08 06:31:30; 3;1
####br; 20-07-08 06:31:35; 2;0
####br; 20-07-08 06:31:40; 3;1
####br; 20-07-08 06:31:45; 3;1
####br; 20-07-08 06:31:50; 3;1
####br; 20-07-08 06:31:55; 2;0
####br; 20-07-08 06:32:00; 3;-1
####br; 20-07-08 06:32:05; 3;-1
####br; 20-07-08 06:32:10; 4;0
####br; 20-07-08 06:32:15; 4;0
####br; 20-07-08 06:32:20; 4;0
####br; 20-07-08 06:32:25; 4;0
####br; 20-07-08 06:32:30; 5;2
####br; 20-07-08 06:32:35; 5;2
####br; 20-07-08 06:32:40; 4;1
####br; 20-07-08 06:32:45; 4;1
####br; 20-07-08 06:32:50; 4;1
####br; 20-07-08 06:32:55; 4;1
####br; 20-07-08 06:33:00; 4;1
####br; 20-07-08 06:33:05; 3;2
####br; 20-07-08 06:33:10; 2;1
####br; 20-07-08 06:33:15; 2;1
####br; 20-07-08 06:33:20; 2;1
####br; 20-07-08 06:33:25; 2;1
####br; 20-07-08 06:33:30; 2;-2
####br; 20-07-08 06:33:35; 2;-2
####br; 20-07-08 06:33:40; 3;-3
####br; 20-07-08 06:33:45; 3;-3
####br; 20-07-08 06:33:50; 4;-2
####br; 20-07-08 06:33:55; 4;-2
####br; 20-07-08 06:34:00; 3;-1
####br; 20-07-08 06:34:05; 3;-1
####br; 20-07-08 06:34:10; 3;-1
####br; 20-07-08 06:34:15; 3;-1
####br; 20-07-08 06:34:20; 4;0
####br; 20-07-08 06:34:25; 5;1
####br; 20-07-08 06:34:30; 4;2
####br; 20-07-08 06:34:35; 4;2
####br; 20-07-08 06:34:40; 3;3
####br; 20-07-08 06:34:45; 3;3
####br; 20-07-08 06:34:50; 2;2
####br; 20-07-08 06:34:55; 2;2
####br; 20-07-08 06:35:00; 2;2
####br; 20-07-08 06:35:05; 2;2
####br; 20-07-08 06:35:10; 3;3
####br; 20-07-08 06:35:15; 3;3
####br; 20-07-08 06:35:20; 2;2
####br; 20-07-08 06:35:25; 1;1
####br; 20-07-08 06:35:30; 1;1
####br; 20-07-08 06:35:35; 1;1
####br; 20-07-08 06:35:40; 1;1
####br; 20-07-08 06:35:45; 1;1
####br; 20-07-08 06:35:50; 1;1
####br; 20-07-08 06:35:55; 2;3
####br; 20-07-08 06:36:00; 3;4
####br; 20-07-08 06:36:05; 4;5
####br; 20-07-08 06:36:10; 3;4
####br; 20-07-08 06:36:15; 3;4
####br; 20-07-08 06:36:20; 3;4
####br; 20-07-08 06:36:25; 3;4
####br; 20-07-08 06:36:30; 3;4
####br; 20-07-08 06:36:35; 3;4
####br; 20-07-08 06:36:40; 3;4
####br; 20-07-08 06:36:45; 4;3
####br; 20-07-08 06:36:50; 4;3
####br; 20-07-08 06:36:55; 3;1
####br; 20-07-08 06:37:00; 2;0
####br; 20-07-08 06:37:05; 1;-1
####br; 20-07-08 06:37:10; 1;-1
####br; 20-07-08 06:37:15; 1;-1
####br; 20-07-08 06:37:20; 1;-1
####br; 20-07-08 06:37:25; 1;-1
####br; 20-07-08 06:37:30; 1;-1
####br; 20-07-08 06:37:35; 2;0
####br; 20-07-08 06:37:40; 3;1
####br; 20-07-08 06:37:45; 3;1
####br; 20-07-08 06:37:50; 4;0
####br; 20-07-08 06:37:55; 5;-2
####br; 20-07-08 06:38:00; 5;-2
####br; 20-07-08 06:38:05; 5;-2
####br; 20-07-08 06:38:10; 5;-2
####br; 20-07-08 06:38:15; 5;-2
####br; 20-07-08 06:38:20; 5;-2
####br; 20-07-08 06:38:25; 5;-2
####br; 20-07-08 06:38:30; 6;-1
####br; 20-07-08 06:38:35; 5;-2
####br; 20-07-08 06:38:40; 4;-3
####br; 20-07-08 06:38:45; 3;-2
####br; 20-07-08 06:38:50; 2;-1
####br; 20-07-08 06:38:55; 1;1
####br; 20-07-08 06:39:00; 1;1
####br; 20-07-08 06:39:05; 1;1
####br; 20-07-08 06:39:10; 1;1
####br; 20-07-08 06:39:15; 1;1
####br; 20-07-08 06:39:20; 1;1
####br; 20-07-08 06:39:25; 1;1
####br; 20-07-08 06:39:45; 1;1
####br; 20-07-08 06:39:50; 2;2
####br; 20-07-08 06:39:55; 2;2
####br; 20-07-08 06:40:00; 2;2
####br; 20-07-08 06:40:05; 2;2
####br; 20-07-08 06:40:10; 2;2
####br; 20-07-08 06:40:15; 2;2
####br; 20-07-08 06:40:20; 2;2
####br; 20-07-08 06:40:25; 2;2
####br; 20-07-08 06:40:30; 2;2
####br; 20-07-08 06:40:35; 2;2
####br; 20-07-08 06:40:40; 2;2
####br; 20-07-08 06:40:45; 1;1
####br; 20-07-08 06:41:40; 1;-1
