####it; 20-07-08 06:28:25; 3;-1
####it; 20-07-08 06:28:30; 3;-1
####it; 20-07-08 06:28:35; 3;-1
####it; 20-07-08 06:28:40; 3;-1
####it; 20-07-08 06:28:45; 2;0
####it; 20-07-08 06:28:50; 3;-1
####it; 20-07-08 06:28:55; 3;-1
####it; 20-07-08 06:29:00; 2;-2
####it; 20-07-08 06:29:05; 3;-1
####it; 20-07-08 06:29:10; 2;0
####it; 20-07-08 06:29:15; 2;0
####it; 20-07-08 06:29:20; 2;0
####it; 20-07-08 06:29:25; 2;0
####it; 20-07-08 06:29:30; 2;0
####it; 20-07-08 06:29:35; 2;0
####it; 20-07-08 06:29:40; 2;0
####it; 20-07-08 06:29:45; 2;0
####it; 20-07-08 06:29:50; 2;2
####it; 20-07-08 06:29:55; 2;2
####it; 20-07-08 06:30:00; 2;2
####it; 20-07-08 06:30:05; 1;1
####it; 20-07-08 06:30:10; 2;2
####it; 20-07-08 06:30:15; 2;2
####it; 20-07-08 06:30:20; 3;0
####it; 20-07-08 06:30:25; 3;0
####it; 20-07-08 06:30:30; 3;0
####it; 20-07-08 06:30:35; 3;0
####it; 20-07-08 06:30:40; 3;0
####it; 20-07-08 06:30:45; 3;0
####it; 20-07-08 06:30:50; 2;-1
####it; 20-07-08 06:30:55; 2;-1
####it; 20-07-08 06:31:00; 2;-1
####it; 20-07-08 06:31:05; 2;-1
####it; 20-07-08 06:31:10; 2;-1
####it; 20-07-08 06:31:15; 2;-1
####it; 20-07-08 06:31:25; 1;-3
####it; 20-07-08 06:31:30; 1;-3
####it; 20-07-08 06:31:35; 1;-3
####it; 20-07-08 06:31:40; 1;-3
####it; 20-07-08 06:31:45; 2;-4
####it; 20-07-08 06:31:50; 2;-4
####it; 20-07-08 06:31:55; 2;-4
####it; 20-07-08 06:32:00; 2;-4
####it; 20-07-08 06:32:05; 2;-4
####it; 20-07-08 06:32:10; 3;-3
####it; 20-07-08 06:32:15; 3;-3
####it; 20-07-08 06:32:20; 3;-3
####it; 20-07-08 06:32:25; 2;0
####it; 20-07-08 06:32:30; 2;0
####it; 20-07-08 06:32:35; 2;0
####it; 20-07-08 06:32:40; 2;0
####it; 20-07-08 06:32:45; 1;1
####it; 20-07-08 06:32:50; 1;1
####it; 20-07-08 06:32:55; 1;1
####it; 20-07-08 06:33:00; 1;1
####it; 20-07-08 06:33:05; 1;1
####it; 20-07-08 06:34:45; 1;-1
####it; 20-07-08 06:34:50; 1;-1
####it; 20-07-08 06:34:55; 2;0
####it; 20-07-08 06:35:00; 2;0
####it; 20-07-08 06:35:05; 2;0
####it; 20-07-08 06:35:10; 2;0
####it; 20-07-08 06:35:15; 2;0
####it; 20-07-08 06:35:20; 2;0
####it; 20-07-08 06:35:25; 2;0
####it; 20-07-08 06:35:30; 2;0
####it; 20-07-08 06:35:35; 2;0
####it; 20-07-08 06:35:40; 2;0
####it; 20-07-08 06:35:45; 1;1
####it; 20-07-08 06:35:50; 1;1
####it; 20-07-08 06:36:25; 1;-1
####it; 20-07-08 06:36:30; 1;-1
####it; 20-07-08 06:36:35; 1;-1
####it; 20-07-08 06:36:40; 1;-1
####it; 20-07-08 06:36:45; 1;-1
####it; 20-07-08 06:36:50; 1;-1
####it; 20-07-08 06:36:55; 1;-1
####it; 20-07-08 06:37:00; 1;-1
####it; 20-07-08 06:37:05; 1;-1
####it; 20-07-08 06:37:10; 2;1
####it; 20-07-08 06:37:15; 2;1
####it; 20-07-08 06:37:20; 2;1
####it; 20-07-08 06:37:25; 1;2
####it; 20-07-08 06:37:30; 1;2
####it; 20-07-08 06:37:35; 3;4
####it; 20-07-08 06:37:40; 3;4
####it; 20-07-08 06:37:45; 3;4
####it; 20-07-08 06:37:50; 3;4
####it; 20-07-08 06:37:55; 3;4
####it; 20-07-08 06:38:00; 3;4
####it; 20-07-08 06:38:05; 3;4
####it; 20-07-08 06:38:10; 2;2
