####br; 20-07-08 12:35:05; 1;2
####br; 20-07-08 12:35:10; 2;1
####br; 20-07-08 12:35:15; 3;2
####br; 20-07-08 12:35:20; 3;2
####br; 20-07-08 12:35:25; 3;2
####br; 20-07-08 12:35:30; 3;2
####br; 20-07-08 12:35:35; 3;2
####br; 20-07-08 12:35:40; 3;2
####br; 20-07-08 12:35:45; 4;4
####br; 20-07-08 12:35:50; 4;4
####br; 20-07-08 12:35:55; 4;4
####br; 20-07-08 12:36:00; 4;4
####br; 20-07-08 12:36:05; 4;4
####br; 20-07-08 12:36:10; 5;4
####br; 20-07-08 12:36:15; 4;3
####br; 20-07-08 12:36:20; 4;3
####br; 20-07-08 12:36:25; 5;2
####br; 20-07-08 12:36:30; 5;2
####br; 20-07-08 12:36:35; 5;2
####br; 20-07-08 12:36:40; 5;2
####br; 20-07-08 12:36:45; 4;0
####br; 20-07-08 12:36:50; 5;-1
####br; 20-07-08 12:36:55; 5;-1
####br; 20-07-08 12:37:00; 5;-1
####br; 20-07-08 12:37:05; 4;-3
####br; 20-07-08 12:37:10; 3;0
####br; 20-07-08 12:37:15; 4;-1
####br; 20-07-08 12:37:20; 5;1
####br; 20-07-08 12:37:25; 4;2
####br; 20-07-08 12:37:30; 4;2
####br; 20-07-08 12:37:35; 4;2
####br; 20-07-08 12:37:40; 4;2
####br; 20-07-08 12:37:45; 4;2
####br; 20-07-08 12:37:50; 3;3
####br; 20-07-08 12:37:55; 3;3
####br; 20-07-08 12:38:00; 3;3
####br; 20-07-08 12:38:05; 3;3
####br; 20-07-08 12:38:10; 2;1
####br; 20-07-08 12:38:15; 2;1
####br; 20-07-08 12:38:20; 3;2
####br; 20-07-08 12:38:25; 4;1
####br; 20-07-08 12:38:30; 4;1
####br; 20-07-08 12:38:35; 5;2
####br; 20-07-08 12:38:40; 5;2
####br; 20-07-08 12:38:45; 5;2
####br; 20-07-08 12:38:50; 5;2
####br; 20-07-08 12:38:55; 4;0
####br; 20-07-08 12:39:00; 4;0
####br; 20-07-08 12:39:05; 5;2
####br; 20-07-08 12:39:10; 5;2
####br; 20-07-08 12:39:15; 6;5
####br; 20-07-08 12:39:20; 5;4
####br; 20-07-08 12:39:25; 4;5
####br; 20-07-08 12:39:30; 5;7
####br; 20-07-08 12:39:35; 5;7
####br; 20-07-08 12:39:40; 5;7
####br; 20-07-08 12:39:45; 6;6
####br; 20-07-08 12:39:50; 7;5
####br; 20-07-08 12:39:55; 7;5
####br; 20-07-08 12:40:00; 7;5
####br; 20-07-08 12:40:05; 7;4
####br; 20-07-08 12:40:10; 7;4
####br; 20-07-08 12:40:15; 6;3
####br; 20-07-08 12:40:20; 6;3
####br; 20-07-08 12:40:25; 6;3
####br; 20-07-08 12:40:30; 5;1
####br; 20-07-08 12:40:35; 4;0
####br; 20-07-08 12:40:40; 4;0
####br; 20-07-08 12:40:45; 3;1
####br; 20-07-08 12:40:50; 2;2
####br; 20-07-08 12:40:55; 2;2
####br; 20-07-08 12:41:00; 2;2
####br; 20-07-08 12:41:05; 4;3
####br; 20-07-08 12:41:10; 5;4
####br; 20-07-08 12:41:15; 4;3
####br; 20-07-08 12:41:20; 4;3
####br; 20-07-08 12:41:25; 4;3
####br; 20-07-08 12:41:30; 4;3
####br; 20-07-08 12:41:35; 3;2
####br; 20-07-08 12:41:40; 3;2
####br; 20-07-08 12:41:45; 4;0
####br; 20-07-08 12:41:50; 4;0
####br; 20-07-08 12:41:55; 4;0
####br; 20-07-08 12:42:00; 4;0
####br; 20-07-08 12:42:05; 2;-1
####br; 20-07-08 12:42:10; 2;0
####br; 20-07-08 12:42:15; 2;0
####br; 20-07-08 12:42:20; 2;0
####br; 20-07-08 12:42:25; 4;-2
####br; 20-07-08 12:42:30; 4;-2
####br; 20-07-08 12:42:35; 5;0
####br; 20-07-08 12:42:40; 6;1
####br; 20-07-08 12:42:45; 5;3
####br; 20-07-08 12:42:50; 6;1
####br; 20-07-08 12:42:55; 7;2
####br; 20-07-08 12:43:00; 7;2
####br; 20-07-08 12:43:05; 7;2
####br; 20-07-08 12:43:10; 6;0
####br; 20-07-08 12:43:15; 7;1
####br; 20-07-08 12:43:20; 7;1
####br; 20-07-08 12:43:25; 5;3
####br; 20-07-08 12:43:30; 6;4
####br; 20-07-08 12:43:35; 6;4
####br; 20-07-08 12:43:40; 6;5
####br; 20-07-08 12:43:45; 6;5
####br; 20-07-08 12:43:50; 5;7
####br; 20-07-08 12:43:55; 4;6
####br; 20-07-08 12:44:00; 4;6
####br; 20-07-08 12:44:05; 4;6
####br; 20-07-08 12:44:10; 5;4
####br; 20-07-08 12:44:15; 4;2
####br; 20-07-08 12:44:20; 4;2
####br; 20-07-08 12:44:25; 4;2
####br; 20-07-08 12:44:30; 3;1
####br; 20-07-08 12:44:35; 4;2
####br; 20-07-08 12:44:40; 4;-1
