####it; 20-07-08 12:35:15; 1;-1
####it; 20-07-08 12:35:20; 1;-1
####it; 20-07-08 12:35:25; 1;-1
####it; 20-07-08 12:35:30; 1;-1
####it; 20-07-08 12:35:35; 2;-2
####it; 20-07-08 12:35:40; 2;-2
####it; 20-07-08 12:35:45; 2;-2
####it; 20-07-08 12:35:50; 2;-2
####it; 20-07-08 12:35:55; 2;-2
####it; 20-07-08 12:36:00; 3;-3
####it; 20-07-08 12:36:05; 3;-3
####it; 20-07-08 12:36:10; 3;-3
####it; 20-07-08 12:36:15; 2;-2
####it; 20-07-08 12:36:20; 2;-2
####it; 20-07-08 12:36:25; 2;-2
####it; 20-07-08 12:36:30; 2;-2
####it; 20-07-08 12:36:35; 1;-1
####it; 20-07-08 12:36:40; 1;-1
####it; 20-07-08 12:36:45; 1;-1
####it; 20-07-08 12:36:50; 1;-1
####it; 20-07-08 12:36:55; 1;-1
####it; 20-07-08 12:37:10; 1;1
####it; 20-07-08 12:37:15; 1;1
####it; 20-07-08 12:37:20; 1;1
####it; 20-07-08 12:37:25; 1;1
####it; 20-07-08 12:37:30; 1;1
####it; 20-07-08 12:37:35; 1;1
####it; 20-07-08 12:37:40; 1;1
####it; 20-07-08 12:37:45; 1;1
####it; 20-07-08 12:37:50; 1;1
####it; 20-07-08 12:37:55; 1;1
####it; 20-07-08 12:38:00; 1;1
####it; 20-07-08 12:38:05; 1;1
####it; 20-07-08 12:38:10; 1;-1
####it; 20-07-08 12:38:15; 1;-1
####it; 20-07-08 12:38:20; 1;-1
####it; 20-07-08 12:38:25; 1;-1
####it; 20-07-08 12:38:30; 1;-1
####it; 20-07-08 12:38:35; 1;-1
####it; 20-07-08 12:38:40; 1;-1
####it; 20-07-08 12:38:45; 1;-1
####it; 20-07-08 12:38:50; 1;-1
####it; 20-07-08 12:38:55; 1;-1
####it; 20-07-08 12:39:00; 1;-1
####it; 20-07-08 12:39:05; 1;-1
####it; 20-07-08 12:39:10; 1;-1
####it; 20-07-08 12:39:15; 1;-1
####it; 20-07-08 12:39:20; 2;1
####it; 20-07-08 12:39:25; 2;1
####it; 20-07-08 12:39:30; 2;1
####it; 20-07-08 12:39:35; 2;1
####it; 20-07-08 12:39:40; 2;1
####it; 20-07-08 12:39:45; 2;1
####it; 20-07-08 12:39:50; 3;-1
####it; 20-07-08 12:39:55; 4;0
####it; 20-07-08 12:40:00; 4;0
####it; 20-07-08 12:40:05; 4;0
####it; 20-07-08 12:40:10; 4;0
####it; 20-07-08 12:40:15; 4;0
####it; 20-07-08 12:40:20; 3;-2
####it; 20-07-08 12:40:25; 3;-2
####it; 20-07-08 12:40:30; 3;-2
####it; 20-07-08 12:40:35; 3;-2
####it; 20-07-08 12:40:40; 2;-1
####it; 20-07-08 12:40:45; 2;-1
####it; 20-07-08 12:40:50; 1;1
####it; 20-07-08 12:40:55; 1;1
####it; 20-07-08 12:41:00; 1;1
####it; 20-07-08 12:41:05; 2;0
####it; 20-07-08 12:41:10; 2;0
####it; 20-07-08 12:41:15; 2;0
####it; 20-07-08 12:41:20; 2;0
####it; 20-07-08 12:41:25; 3;2
####it; 20-07-08 12:41:30; 3;2
####it; 20-07-08 12:41:35; 2;1
####it; 20-07-08 12:41:40; 3;2
####it; 20-07-08 12:41:45; 3;2
####it; 20-07-08 12:41:50; 3;2
####it; 20-07-08 12:41:55; 3;2
####it; 20-07-08 12:42:00; 4;3
####it; 20-07-08 12:42:05; 3;4
####it; 20-07-08 12:42:10; 3;4
####it; 20-07-08 12:42:15; 3;4
####it; 20-07-08 12:42:20; 3;4
####it; 20-07-08 12:42:25; 2;2
####it; 20-07-08 12:42:30; 3;1
####it; 20-07-08 12:42:35; 3;1
####it; 20-07-08 12:42:40; 2;0
####it; 20-07-08 12:42:45; 2;0
####it; 20-07-08 12:42:50; 2;0
####it; 20-07-08 12:42:55; 2;0
####it; 20-07-08 12:43:00; 1;-1
####it; 20-07-08 12:43:05; 2;-2
####it; 20-07-08 12:43:10; 2;-2
####it; 20-07-08 12:43:15; 2;-2
####it; 20-07-08 12:43:20; 2;-2
####it; 20-07-08 12:43:25; 2;-2
####it; 20-07-08 12:43:30; 1;-1
####it; 20-07-08 12:43:35; 1;-1
####it; 20-07-08 12:43:40; 2;-3
####it; 20-07-08 12:43:45; 2;-3
####it; 20-07-08 12:43:50; 2;-3
####it; 20-07-08 12:43:55; 2;-3
####it; 20-07-08 12:44:00; 2;-3
####it; 20-07-08 12:44:05; 1;-2
####it; 20-07-08 12:44:10; 2;-1
####it; 20-07-08 12:44:15; 2;-1
####it; 20-07-08 12:44:20; 2;-1
####it; 20-07-08 12:44:25; 2;-1
####it; 20-07-08 12:44:30; 2;-1
####it; 20-07-08 12:44:35; 2;-1
####it; 20-07-08 12:44:40; 1;1
####it; 20-07-08 12:44:45; 1;1
####it; 20-07-08 12:44:50; 1;1
####it; 20-07-08 12:44:55; 1;1
####it; 20-07-08 12:45:00; 1;1
####it; 20-07-08 12:45:05; 2;2
####it; 20-07-08 12:45:10; 1;1
####it; 20-07-08 12:45:15; 1;1
####it; 20-07-08 12:45:20; 1;1
####it; 20-07-08 12:45:25; 1;1
####it; 20-07-08 12:45:30; 1;1
####it; 20-07-08 12:45:35; 2;0
####it; 20-07-08 12:45:40; 2;0
####it; 20-07-08 12:45:45; 2;0
####it; 20-07-08 12:45:50; 2;0
####it; 20-07-08 12:45:55; 2;0
####it; 20-07-08 12:46:00; 2;0
####it; 20-07-08 12:46:05; 2;0
####it; 20-07-08 12:46:10; 2;0
####it; 20-07-08 12:46:15; 2;0
####it; 20-07-08 12:46:20; 2;0
####it; 20-07-08 12:46:25; 2;0
####it; 20-07-08 12:46:30; 2;0
####it; 20-07-08 12:46:35; 1;1
####it; 20-07-08 12:46:40; 1;1
####it; 20-07-08 12:46:45; 1;1
####it; 20-07-08 12:46:50; 1;1
####it; 20-07-08 12:47:55; 1;1
####it; 20-07-08 12:48:00; 1;1
####it; 20-07-08 12:48:05; 1;1
####it; 20-07-08 12:48:10; 1;1
####it; 20-07-08 12:48:15; 1;1
####it; 20-07-08 12:48:20; 1;1
####it; 20-07-08 12:48:25; 1;1
####it; 20-07-08 12:48:30; 1;1
####it; 20-07-08 12:48:35; 1;1
####it; 20-07-08 12:48:40; 1;1
####it; 20-07-08 12:48:45; 1;1
####it; 20-07-08 12:48:50; 1;1
####it; 20-07-08 12:49:05; 1;-1
####it; 20-07-08 12:49:10; 1;-1
####it; 20-07-08 12:49:15; 2;-2
####it; 20-07-08 12:49:20; 3;-1
####it; 20-07-08 12:49:25; 3;-1
####it; 20-07-08 12:49:30; 3;-1
####it; 20-07-08 12:49:35; 3;-1
####it; 20-07-08 12:49:40; 4;-3
####it; 20-07-08 12:49:45; 4;-3
####it; 20-07-08 12:49:50; 4;-3
####it; 20-07-08 12:49:55; 4;-3
####it; 20-07-08 12:50:00; 4;-3
####it; 20-07-08 12:50:05; 3;-2
####it; 20-07-08 12:50:10; 3;-2
####it; 20-07-08 12:50:15; 2;-1
####it; 20-07-08 12:50:20; 1;-2
####it; 20-07-08 12:50:25; 1;-2
####it; 20-07-08 12:50:30; 1;-2
####it; 20-07-08 12:50:35; 1;-2
####it; 20-07-08 12:50:45; 1;1
####it; 20-07-08 12:50:50; 1;1
####it; 20-07-08 12:50:55; 1;1
####it; 20-07-08 12:51:00; 1;1
