####it; 20-07-08 09:23:10; 1;1
####it; 20-07-08 09:23:15; 1;1
####it; 20-07-08 09:23:20; 1;1
####it; 20-07-08 09:23:25; 1;1
####it; 20-07-08 09:23:30; 1;1
####it; 20-07-08 09:23:35; 1;1
####it; 20-07-08 09:23:40; 1;1
####it; 20-07-08 09:23:45; 1;1
####it; 20-07-08 09:23:50; 1;1
####it; 20-07-08 09:23:55; 1;1
####it; 20-07-08 09:24:00; 1;1
####it; 20-07-08 09:24:05; 1;1
####it; 20-07-08 09:24:10; 1;1
####it; 20-07-08 09:24:15; 1;1
####it; 20-07-08 09:24:20; 1;1
####it; 20-07-08 09:24:25; 1;1
####it; 20-07-08 09:24:30; 1;1
####it; 20-07-08 09:24:35; 1;1
####it; 20-07-08 09:24:40; 1;1
####it; 20-07-08 09:24:45; 1;1
####it; 20-07-08 09:24:50; 1;1
####it; 20-07-08 09:24:55; 1;1
####it; 20-07-08 09:25:00; 1;1
####it; 20-07-08 09:25:05; 1;1
####it; 20-07-08 09:25:10; 1;1
####it; 20-07-08 09:25:15; 1;1
####it; 20-07-08 09:25:20; 1;1
####it; 20-07-08 09:25:25; 1;1
####it; 20-07-08 09:25:30; 1;1
####it; 20-07-08 09:25:35; 1;1
####it; 20-07-08 09:25:55; 1;-1
####it; 20-07-08 09:26:00; 1;-1
####it; 20-07-08 09:26:05; 1;-1
####it; 20-07-08 09:26:10; 1;-1
####it; 20-07-08 09:26:15; 1;-1
####it; 20-07-08 09:26:20; 1;-1
####it; 20-07-08 09:26:25; 2;-3
####it; 20-07-08 09:26:30; 2;-3
####it; 20-07-08 09:26:35; 2;-3
####it; 20-07-08 09:26:40; 2;-3
####it; 20-07-08 09:26:45; 2;-3
####it; 20-07-08 09:26:50; 2;-3
####it; 20-07-08 09:26:55; 1;-2
####it; 20-07-08 09:27:00; 1;-2
####it; 20-07-08 09:27:05; 1;-2
####it; 20-07-08 09:27:10; 1;-2
####it; 20-07-08 09:27:15; 1;-2
####it; 20-07-08 09:27:20; 1;-2
####it; 20-07-08 09:28:10; 1;1
####it; 20-07-08 09:28:15; 1;1
####it; 20-07-08 09:28:20; 1;1
####it; 20-07-08 09:28:25; 1;1
####it; 20-07-08 09:28:30; 1;1
